concept1,concept2
acrylic_medium,help_make_paint_more_transparent
acting_in_play,actresses
acting_in_play,becoming_famous
acting_in_play,being_challenged
acting_in_play,earning_money
acting_in_play,entertaining_audience
acting_in_play,entertaining_people
acting_in_play,entertainment
acting_in_play,escape_from_normal_life
acting_in_play,expressing_idea
acting_in_play,gaining_theater_experience
acting_in_play,getting_class_credit
acting_in_play,getting_media_attention
acting_in_play,improve_acting_skills
acting_in_play,life_enrichment
acting_in_play,living_as_another_person
acting_in_play,making_money
acting_in_play,money
acting_in_play,pleasure
acting_in_play,portraying_character
acting_in_play,portraying_charactor
acting_in_play,providing_entertainment
acting_in_play,re_enacting_historical_event
acting_in_play,social_growth
acting_in_play,students
acting_in_play,theatrical_personnel
acting_in_play,wearing_costumes
action_figure,children_to_play_with
action_figure,collecting
action_figure,fun
action_figure,have_fun
action_figure,make_poses
action_figure,play
action_figure,play_out_fantasies
action_figure,play_with
action_figure,playing
action_figure,role_playing
actors,being_stalked
adding_up_column_of_numbers,accountants
adding_up_column_of_numbers,accoutant
adding_up_column_of_numbers,calculating
adding_up_column_of_numbers,comparing_incomes
adding_up_column_of_numbers,cpas
adding_up_column_of_numbers,determining_percentage
adding_up_column_of_numbers,elementary_school_students
adding_up_column_of_numbers,finding_sum
adding_up_column_of_numbers,finding_total
adding_up_column_of_numbers,knowing_what_sum
adding_up_column_of_numbers,practice
adding_up_column_of_numbers,spreadsheet_users
adding_up_column_of_numbers,totalling_balance
adding_up_column_of_numbers,want_sum
adding_up_numbers,accouting
adding_up_numbers,balancing_checkbook
adding_up_numbers,building_sum
adding_up_numbers,calculating_summary
adding_up_numbers,completing_math_test
adding_up_numbers,counting
adding_up_numbers,counting_age
adding_up_numbers,counting_change
adding_up_numbers,counting_money
adding_up_numbers,counting_price
adding_up_numbers,determining_net_worth
adding_up_numbers,discovering_sum
adding_up_numbers,finding_total
adding_up_numbers,finding_total_amount
adding_up_numbers,getting_sum
adding_up_numbers,getting_total
adding_up_numbers,keeping_score
adding_up_numbers,keeping_track_of_inventory
adding_up_numbers,making_averages
adding_up_numbers,making_computations
adding_up_numbers,making_estimates
adding_up_numbers,measuring
adding_up_numbers,obtaining_sum
adding_up_numbers,totalling
adding_up_numbers,totalling_sum
adding_up_numbers,working_out_bill
addition,count_horses
address,describe_where_person_lives
address_label,identifying_recipient_of_package
address_label,identifying_sender_of_package
address_label,indicating_destination_of_package
address_label,instead_of_writing_address_yourself
address_label,mailing_letter
address_label,post_parcel
address_label,providing_directions_to_mailman
address_label,put_adress_on_letter
address_label,put_on_letter
address_label,routing_letters_through_postal_system
address_label,send_item_to_addresse
address_label,send_letter_to
address_label,sending_packages
address_label,tag_bags
address_labels,mail_letters
adhesive_bandage,abrasions
adhesive_bandage,bandaging_wounds
adhesive_bandage,cover_cut_or_wound
adhesive_bandage,cover_scrape
adhesive_bandage,cover_wound
adhesive_bandage,covering_wounds
adhesive_bandage,cut
adhesive_bandage,cuts
adhesive_bandage,knee_area
adhesive_bandage,minor_wounds
adhesive_bandages,help_wounds_heal
adhesives,stick_things_together
adjective,describe_noun
adrenalin,prevent_anaphylaxis
advancing_into_battle,armies
advancing_into_battle,attacking
advancing_into_battle,attacking_enemy
advancing_into_battle,beat_enemy
advancing_into_battle,combat
advancing_into_battle,fighting
advancing_into_battle,fighting_war
advancing_into_battle,fighting_wars
advancing_into_battle,gain_new_land
advancing_into_battle,gaining_ground
advancing_into_battle,gaining_offensive
advancing_into_battle,gaining_strategic_advantage
advancing_into_battle,gaining_tactical_advantage
advancing_into_battle,getting_into_position_to_fight
advancing_into_battle,going_to_war
advancing_into_battle,kill_people
advancing_into_battle,killing_enemy
advancing_into_battle,making_war
advancing_into_battle,prepare_for_war
advancing_into_battle,soldiers_in_army
advancing_into_battle,testing_one's_mettle
advancing_into_battle,win_war
advancing_into_battle,winning
adverb,modify_verb
advertisement,conveying_idea
advertisement,educate
advertisement,electing_politician
advertisement,garnering_awareness
advertisement,getting_to_buy
advertisement,increasing_company's_profits
advertisement,promiting_sale
advertisement,promoting_business
advertisement,recommending_products
advertisement,sell
advertisement,sell_product
advertisement,selling_product
advertisement,selling_products_and_services
advertisement,selling_services
advertisement,showing_products_to_people
advertisement,supporting_political_parties
advertisement,try_to_make_people_buy
advertisements,finance_television_programs
advertising_panel,advertise
advertising_panel,advertising
advertising_panel,advertising_goods_or_services
advertising_panel,get_peoples_attention
aerial_bomb,advancing_position_in_war
aerial_bomb,blowing_things_up
aerial_bomb,bombing_from_air
aerial_bomb,destorying_things_from_high_above
aerial_bomb,destroy_city
aerial_bomb,destroy_places
aerial_bomb,destroying_targets
aerial_bomb,devastate_enemy_targets
aerial_bomb,do_harm
aerial_bomb,drop_on_ground
aerial_bomb,explode_in_air
aerial_bomb,kill_people
agreeing_with,believing_what_say_true
agreeing_with,coming_to_compromise
agreeing_with,concurring
agreeing_with,cooperation
agreeing_with,creating_harmony
agreeing_with,doing_everyone_enjoys
agreeing_with,ending_argument
agreeing_with,expressing_similar_opinion
agreeing_with,expressing_similarities
agreeing_with,greasing_wheels_of_commerce
agreeing_with,harmony
agreeing_with,kissing_ass
agreeing_with,making_friend
agreeing_with,reaching_compromise
agreeing_with,showing_solidarity
agreeing_with,showing_support
agreeing_with,trying_to_look_good
air_conditioner,cool_down_room
air_conditioner,cool_room
air_conditioner,cooling_air
air_conditioner,cooling_hot_air
air_conditioner,cooling_room
air_conditioner,lowering_air_temperature
air_conditioner,make_room_more_comfortable
air_conditioner,make_warm_air_colder
air_conditioner,making_room_colder
air_conditioner,reduce_air_temperature
air_conditioner,reduce_room_temperature
air_conditioner,removing_allergans_from_air
air_conditioners,keep_house_cool_and_dry
air_conditioning,altering_environment_of_room
air_conditioning,breathe_better
air_conditioning,comfortable_in_hot_weather
air_conditioning,cool_down
air_conditioning,cool_enviroment
air_conditioning,cool_home
air_conditioning,cool_house
air_conditioning,cool_room_or_building
air_conditioning,cooling
air_conditioning,cooling_automobile
air_conditioning,cooling_hotel
air_conditioning,cooling_office
air_conditioning,cooling_residence
air_conditioning,cooling_room
air_conditioning,keep_room_cold
air_conditioning,manipulating_temperature
air_conditioning,reducing_temperature
air_conditioning,removing_moisture_from_air
air_conditioning,storing_cold_food_items
air_conditioning,warming
air_pump,fill_tires_with_air
air_terminal,boarding_airplane_to_fly_somewhere
air_terminal,catch_flight_to_rome
air_terminal,entering_and_exiting_airplanes
air_terminal,fly
air_terminal,meet_plane
air_terminal,wait_for_airplane
air_terminal,waiting_to_get_on_plane
air_ticket,board_airplane
air_ticket,commercial_airlines_flight
air_ticket,get_seat_on_flight
air_ticket,getting_on_plane
air_ticket,going_on_airplane
air_ticket,going_to_new_place
air_ticket,ride_on_airplane
air_ticket,travel
air_ticket,travel_with_airplane
air_ticket,traveling
airbag,safety
aircraft,fly
aircraft,land
aircraft,transport
aircraft_roadway,fly_away
aircraft_roadway,get_to_runway
aircraft_roadway,land_plane
airline_seat,comfort_during_flight
airline_seat,eat_meal
airline_seat,holding_passenger_during_flight
airline_seat,riding_in_airplane
airline_seat,sitting_in
airline_seat,sitting_in_airplane
airline_seat,sitting_in_for_hours
airline_seat,sitting_while_on_airplane
airline_seat,trave
airpalne,transport
airplane,air_transportation
airplane,cargo
airplane,crashing_into_buildings
airplane,flight
airplane,fly
airplane,flying
airplane,going_from_oneplace_to_another
airplane,imitating_birds
airplane,transport
airplane,transport_people
airplane,transportation
airplane,travel
airplane,traveling
airplane,traversing_skies
airplane,visit_england
airplane,warfare
airplane_seat,comfort_during_flight
airplane_seat,passenger_comfort
airplane_seat,passengers
airplane_seat,riding_in_airplane
airplane_seat,sit_on
airplane_seat,sit_while_travel
airplane_seat,sitting
airplane_seat,sitting_in
airplane_seat,sleep_in_while_traveling
airplane_seat,transporting_passenger_in_comfort
airplane_seat,traveling_on_airplane
airplanes,carry_freight_or_cargo
airplanes,go_from_place_to_place
airplanes,transport_materials
airplanes,travel
airplanes,travel_between_places
airplanes,travel_from_one_place_to_another
airplanes,travel_long_distances
airport,airplanes
aisle,access_to_goods_in_store
aisle,allowing_people_to_move_around_efficiently
aisle,categorizing_items
aisle,flow_of_traffic
aisle,getting_married
aisle,getting_to_seat
aisle,moving_people_through_seatting_arrangements
aisle,moving_through
aisle,organize_store
aisle,part_of_religious_building
aisle,passage_between_things
aisle,passagewy
aisle,path_to_traverse
aisle,pathway
aisle,push_cart
aisle,reach_seat
aisle,running_in
aisle,showing_goods
aisle,view_merchandise
aisle,walking
aisle,walking_along
aisle,walking_through
aisle,walking_up
aisle,walking_up_or_down
alarm,alarm
alarm,alarm
alarm,alert
alarm,ring
alarm,warn
alarm_clock,wake_up_at_certain_time
alarm_clock,waking_at_specified_time
alarm_clock,waking_up
alarm_clock,awaken
alarm_clock,clock
alarm_clock,clock_time
alarm_clock,go_off
alarm_clock,ring
album,another_word_for_record
album,hold_photographs
album,holding_photographs
album,holding_representation_for_several_songs
album,keeping_pictures_in
album,memories
album,music
album,playing_music
album,preserve_photographs
album,reproduce_music
album,save_photographs
album,stick_photos_in
album,store_old_pictures
album,store_photographs
album,storing_lots_of_music
album,storing_photgrahs_in
album,storing_photographs
album,storing_photos
album,play
album,hearer
album,launch
album,music
album,play
album,sell
alcahol,escape_pain
alcohol,clean_wounds
alcohol,intoxication
alcohol,sterilize_instruments
alcoholic_drinks,hinder_judgments
alcoholics,alcohol
algorithm,software
algorithm,solving_problem
alias,keep_true_identity_private
alley,access_to_backs_of_properties
alley,access_to_backsides_of_buildings
alley,bowling
alley,cats
alley,colourful_murals
alley,deliveries
alley,garages
alley,hanging_out
alley,having_smoke
alley,hide_from_persuit
alley,rear_exits_from_buildings_or_property
alley,sneaking_past_clogged_traffic
alley,storing_trashcans
alley,trash_containers
alley,walk
almost,make_art
altar,adoration_of_god
altar,church
altar,church_services
altar,conducting_religious_ceremony
altar,focal_point_in_church
altar,get_married_at
altar,getting_married
altar,kneeling_in_front_of
altar,marry_sweetheart
altar,place_to_get_married
altar,place_to_pray
altar,pray
altar,pray_to_god
altar,religious_purposes
altar,religious_sacrifices
altar,sacrifices
altar,use_by_priest
altar,weddings
altar,worship
altar,worship_god
alto,computation
alto,create_opera
alto,high_pitched_voice
alto,sing
alto,singing
aluminum_foil,bake_things_in
ambulance,drive
ambulance,rush
ambulance,transport
ambulance_team,save_lives
amphetamines,stay_awake_during_long_drives
amphitheatre,concerts
amphitheatre,experiencing_performance_art
amphitheatre,fun
amphitheatre,grooving_to_grateful_dead
amphitheatre,groups_of_people
amphitheatre,hearing_echoes_when_empty
amphitheatre,hold_concert
amphitheatre,hold_outdoor_concerts
amphitheatre,listening_to_brass_band_concert
amphitheatre,lounging_about_in_sun
amphitheatre,perfect_sound_quality
amphitheatre,performances
amphitheatre,playing_soccer
amphitheatre,present_spectacle
amphitheatre,publicly_executing_people
amphitheatre,showing_plays
amphitheatre,stage_play
amphitheatre,staging_events_in
amphitheatre,taking_schoolchildren_to_on_field_trips
amphitheatre,viewing_concerts
amphitheatre,viewing_plays
amphitheatre,watching_greek_tragedy
amphitheatre,watching_wrestling_match
amplifier,make_sound_louder
analysing,attempting_to_model_universe_accurately
analysing,deciding_on_plan_of_action
analysing,describing
analysing,discovering_nature
analysing,figuring_out_how_works
analysing,finding_information_on
analysing,finding_out_more_about
analysing,finding_out_what
analysing,finding_unique_components
analysing,getting_details
analysing,good_of_everyone
analysing,initiate_action
analysing,investigating
analysing,learning
analysing,learning_about_somthing
analysing,learning_from
analysing,making_recommendations
analysing,personal_enjoyment
analysing,seeing_what_happens
analysing,studying
analysing,understanding
analysing,understanding_cause_and_effect_relationships
analysing,understanding_details
analysing,understanding_function
analysing,understanding_what_means
analysing,using_time_effectively
anarchy,liberation_of_humanity_from_state_capital_and_religion
and_bus_stop,waiting_for_transit_bus
and_great_wine,relishing
anemometer,measuring_wind_speed
angle_grinder,grinding
animal,beastiality
animal,carrying_cargo
animal,companionship
animal,conduct_experiment
animal,cuddly_pet
animal,food
animal,fur
animal,keep_company
animal,killing_for_food
animal,make_fur_coat
animal,make_leather
animal,pet
animal,petting
animal,provide_companionship
animal,providing_fur_coats
animal,race
animal,visiting_in_zoo
animal_skins,make_leather
anime,entertainment
anntenae,receive_signals
answering_questions,aiding_memory
answering_questions,contestants
answering_questions,creating_awareness
answering_questions,criminal_suspects
answering_questions,demonstrating_knowledge
answering_questions,determinging_knowledge
answering_questions,diffusing_knowlege
answering_questions,displaying_knowledge
answering_questions,docents
answering_questions,educating
answering_questions,educating_others
answering_questions,elucidating
answering_questions,examination
answering_questions,exercising_intellect
answering_questions,exploring_knowledge
answering_questions,finding_answers
answering_questions,finding_out_answers
answering_questions,finding_truth
answering_questions,gaining_knowledge
answering_questions,getting_job
answering_questions,give_information
answering_questions,giving_information
answering_questions,guides
answering_questions,help_desk_personnel
answering_questions,helping
answering_questions,increasing_understanding
answering_questions,information_booth_operators
answering_questions,informing
answering_questions,informing_others
answering_questions,interviewees
answering_questions,introspection
answering_questions,letting_others_know_what_know
answering_questions,looking_for_truth
answering_questions,make_happy
answering_questions,newspaper_advice_columnists
answering_questions,paricipating_in_poll
answering_questions,pass_test
answering_questions,people_taking_exam
answering_questions,people_testifying_in_court
answering_questions,people_with_knowledge
answering_questions,practice
answering_questions,providing_answers
answering_questions,quiz_takers
answering_questions,raising_children
answering_questions,remembering
answering_questions,responding_thoughtfully
answering_questions,sales_people
answering_questions,satisfying_curiosity
answering_questions,satisfying_questioner
answering_questions,satisfying_questioners
answering_questions,seeking_understanding
answering_questions,sharing_knowledge
answering_questions,spinning_truth
answering_questions,stimulating_thought
answering_questions,students
answering_questions,suspects
answering_questions,taking_examination
answering_questions,taking_test
answering_questions,teachers
answering_questions,teaching
answering_questions,teaching_children
answering_questions,teaching_people
answering_questions,testees
answering_questions,testing_knowledge
answering_questions,winning_price
antibiotic,treating_bacterial_infection
antibiotics,kill_bacteria
anticonvulsant_drug,prevent_convulsions
anticonvulsant_drug,prevent_seizures
antihistamine,control_allergic_reactions
anvil,stun_cartoon_character
anxious_people,anxiety
anxious_people,anxiolytics
aol,jackasses
apartment,1_family_to_live_in
apartment,avoid_buying
apartment,compacting_living_space
apartment,dwelling
apartment,enter
apartment,holding_belongings
apartment,housing_people
apartment,live_in_temporarily
apartment,owning
apartment,parties
apartment,renting
apartment,shelter
apartment_building,apartment_dwellers
apartment_building,giving_people_place_to_live
apartment_building,grouping_apartments
apartment_building,housing_multi_families
apartment_building,improving_neighborhood_in_city
apartment_building,inexpensive_rent
apartment_building,investment_property
apartment_building,live_in
apartment_building,living_in
apartment_building,making_money_for_landlord
apartment_building,maximising_use_of_space
apartment_building,maximizing_investment
apartment_building,maximizing_land_use
apartment_building,people_to_live_in
apartment_building,protection_from_weather
apartment_building,providing_common_facilities
apartment_building,rent_abode
apartment_building,renting
apartment_building,security
apartment_building,sleeping_in
apartment_building,storing_belongings
apartment_house,living_area
apartment_house,living_in_cheaply
apartment_house,living_in_temporarily
apartment_house,many_family_groups_to_live_in
apartment_house,residing
apartment_house,shelter_and_house_many_people
apartment_house,storing_things_in
apparatus,perform
apparatus,serve
apparatus,work
apple,bait_trap
apple,computing
apple,dessert
apple,eating
apple,enjoy_fruit
apple,getting_good_carbs
apple,getting_good_grades_from_teacher
apple,growing_apple_trees
apple,illustrating_gravity_to_sir_isaac_newton
apple,illustrating_letter
apple,keeping_doctor_away
apple,make_apple_cider
apple,make_pie
apple,making_apple_pie
apple,making_applesauce
apple,making_pie
apple,munching
apple,picking_from_tree_when_ripe
apple,pie
apple,representing_knowlege
apple,sate_hunger
apple,tempting_eve
apple,test_theory_of_gravity
apples,bait_deer
applying_for_job,being_responsible
applying_for_job,being_useful_member_of_society
applying_for_job,earning_living
applying_for_job,earning_money
applying_for_job,getting_employment
applying_for_job,getting_job
applying_for_job,getting_job_interview
applying_for_job,getting_moeny
applying_for_job,obtaining_employment
applying_for_job,starting_new_career
applying_for_job,trying_to_earn_money
applying_for_job,trying_to_get_employment
applying_for_job,working_so_can_earn_money
appointment_book,keep_appointments_written_down
appointment_book,keep_calendar
appointment_book,keeping_track_of_one's_schedule
appointment_book,keeping_track_of_tasks
appointment_book,log_meetings
appointment_book,make_date
appointment_book,making_appointments
appointment_book,note_appointments_and_special_days
appointment_book,organising_day
appointment_book,planning_time
appointment_book,recording_appointments
appointment_book,recording_information
appointment_book,recording_names
appointment_book,remind_person_of_schedule
appointment_book,scheduling
appointment_book,scheduling_imprortant_dates
appointment_book,scheduling_time
appointment_book,store_addresses
aquarium,fish
aquarium,attract
aquarium,fish
aquarium,hold
aquarium,house
arch,adverise_hamburgers
arch,aesthetically_pleasing_architecture
arch,frame_entranceway
arch,load_bearing
arch,pleasant_architecture
arch,providing_gap_in_wall
arch,providing_passage_way
arch,structural_support_for_building
arch,support
arch,support_entrance
arch,support_load
arch,support_roof
archaeology,learning_about_past
archery,hunting_animals
archery,hunting_fish
architecture,regulate_behavior
archway,accentuate
archway,architectural_support
archway,create_opening_in_wall
archway,creating_entranceway
archway,make_entrance
archway,pass_through
archway,support
archway,support_wall
area_51,testing_aircraft
arena,compete
arena,competition
arena,competitions
arena,concerts
arena,fight
arena,fighting
arena,gathering
arena,gatherings
arena,having_political_rally
arena,hockey_games
arena,holding_large_conference
arena,live_concert
arena,meeting
arena,performing_rock_music_concert
arena,play_hockey_game
arena,playing_professional_baseball_game
arena,playing_professional_football_game
arena,see_show
arena,see_show_in
arena,sporting_activities
arena,sports
arena,stage_events
arena,watching_events
arena,watching_sports
arm,adding_another_functional_group
arm,adding_power_to_movement
arm,attaching_hand_to_body
arm,branching_from_plant
arm,connecting_hand_and_shoulder
arm,controlling_hand
arm,controlling_wrist
arm,drapping_towel_when_serving_wine
arm,enforcing_law
arm,extending_reach_of_body
arm,extensive_number_of_uses
arm,fulcrum
arm,get_hand_to_location
arm,give_support_to_another
arm,giving_body_reach
arm,going_further_inland_on_water
arm,grasping_barrel
arm,have_to_hang_onto
arm,hold_baby
arm,hold_spouse
arm,holding_down
arm,holding_during_dance
arm,holding_folder_to_torso
arm,holding_hand
arm,holding_sheep_to_sheared
arm,holding_watch
arm,keep_balance
arm,keeping_towel_from_falling
arm,knock_over
arm,lift_weights
arm,lifting_cup
arm,lifting_dumbbell
arm,lifting_glass
arm,lifting_hand
arm,lifting_things
arm,maintaining_separation_between_bodies
arm,making_arm_chair
arm,multiple_purposes
arm,organized_branch_of_national_defense
arm,part_of_anchor
arm,part_of_coat
arm,part_of_shirt
arm,preventing_cars_from_crossing_train_tracks
arm,projecting_out_from_main_part
arm,push_people_further_away
arm,reaching_out
arm,saluting
arm,shooting_basketball
arm,shooting_bullets
arm,side_arm
arm,support_for_elbow
arm,tackle_another_footy_player
arm,throwing_ball
arm,wave
arm,waving
arm,wrapping_around
arm_to_transmitting_control,hand
armchair,head_of_table
armchair,identifying_host
armchair,living_room_or_family_room
armchair,lounging_in
armchair,reading
armchair,relaxing
armchair,relaxing_in
armchair,resting
armchair,resting_in
armchair,sit_in
armchair,sitting
armchair,sitting_in
armchair,watching_television
armchair,watching_television_while_sitting_in
armchair,seat
armchair,sitter
armoire,clother
armoire,clothes
armoire,fight
armoire,store_cloths
armoire,store_weapons_or_else
armor,protection
army,defending_nation
army,defense
army,fight_war
army,fighting_for_worthy_cause
army,keeping_peace
army,protect_shores
army,protection
army,strength_of_nation
army,wars
arrest,put_in_jail
arrow,denote_direction
arrow,fly
arrow,hit
arrow,pierce
arrow,shoot
arrow,wound
arrow,target
art,art's_sake
art,contemplation
art,education
art,enjoyment
art,everyone
art,express_yourself
art,inspiration
art,people
artery,allowing_cars_to_traverse_highways
artery,carry_deoxygenated_blood_away_from_heart
artery,carrying_blood
artery,carrying_blood_around_body
artery,carrying_oxygenated_blood
artery,circulate_blood
artery,getting_blood_to_brain
artery,getting_blood_to_feet
artery,taking_blood_from_heart
artery,taking_blood_to_lungs
artery,transporting_blood
artery,transporting_blood_in_body
artichoke_hearts,make_sandwiches
article,reading
article_in_magazine,benefit_of_reader
article_in_magazine,conveying_idea
article_in_magazine,entertainment
article_in_magazine,exposing_crime
article_in_magazine,exposing_truth
article_in_magazine,expressing_information
article_in_magazine,expressing_opinion
article_in_magazine,getting_publicity
article_in_magazine,giving_information
article_in_magazine,learn_about_new_subject
article_in_magazine,learn_new_informaton
article_in_magazine,learning_from
article_in_magazine,learning_interesting_things_from
article_in_magazine,read
article_in_magazine,reading
article_in_magazine,relating_news
article_in_magazine,reporting_crime
article_in_magazine,reporting_event
article_in_magazine,reviewing_book
article_in_magazine,reviewing_debate
article_in_magazine,reviewing_film
article_in_magazine,reviewing_restaurant
article_in_magazine,ruining_reputation
article_in_magazine,spanking_one's_monkey
article_in_magazine,telling_story
article_in_newspaper,comment
article_in_newspaper,explaining_connection_between_events
article_in_newspaper,gaining_information
article_in_newspaper,giving_information
article_in_newspaper,information
article_in_newspaper,informing_people_and_expressing_opinions
article_in_newspaper,informing_people_of_news_event
article_in_newspaper,learn_information
article_in_newspaper,learning_new_facts
article_in_newspaper,providing_iformation
article_in_newspaper,providing_information
article_in_newspaper,read
article_in_newspaper,reading
article_in_newspaper,reading_to_find_out_information
article_in_newspaper,reporting_on_event
article_in_newspaper,reviewing_book
article_in_newspaper,reviewing_film
article_in_newspaper,reviewing_restaurant
article_in_newspaper,spreading_news
article_in_newspaper,telling_story
artificial_intelligence,understanding_human_mind_and_brains
asking_for_more_food,satisfying_hunger
asphalt,pave_roads
asphalt,paving_roads
aspirin,relieve_headache
asterisk_wildcard_symbol,specify_strings_of_characters
astrology,predicting_outcome
astronauts,weightlessness
atlantic_ocean,diving_submarine_into
atlantic_ocean,fishing
atlantic_ocean,keeping_france_away_from_us
atlantic_ocean,ocean_dumping
atlantic_ocean,place_for_fish_to_live
atlantic_ocean,regulating_weather
atlantic_ocean,removing_fish_from
atlantic_ocean,sailing
atlantic_ocean,sailing_on
atlantic_ocean,sailing_yacht_across
atlantic_ocean,separating_north_america_and_europe
atlantic_ocean,seperating_continents
atlantic_ocean,shipping
atlantic_ocean,swimming
atlantic_ocean,watching_sun_rise_from
atlantic_ocean,watching_sun_set_into
atomic_bomb,nuclear_war
atomic_explosion,mass_killing
attach_case,breifcase
attach_case,business
attach_case,businessmen_to_carry
attach_case,carrying_important_papers
attach_case,carrying_notes
attach_case,carrying_papers
attach_case,carrying_papers_and_books
attach_case,holding_files
attach_case,looking_important
attach_case,papers
attach_case,storing_documents
attach_case,storing_pens_and_pencils
attache_case,carry_business_papers
attache_case,carry_documents
attache_case,carrying_documents
attache_case,carrying_lunch
attache_case,carrying_paperwork
attache_case,holding_documents
attache_case,holding_important_papers
attache_case,holding_papers
attache_case,store_confidential_documents
attache_case,storing_important_documents
attache_case,transport_documents
attending_class,asking_questions_about_subject
attending_class,attendance_record
attending_class,becoming_educated
attending_class,confirming_existing_knowledge
attending_class,discussing_subject_with_teacher
attending_class,enhancing_one's_education
attending_class,gaining_knowledge
attending_class,getting_degree
attending_class,getting_grade
attending_class,getting_homework_assignments
attending_class,good_attendance_marks
attending_class,increasing_knowledge_about_subject
attending_class,incresing_knowlege
attending_class,learning_all_can
attending_class,learning_new_information
attending_class,learning_subject
attending_class,listening_to_teacher
attending_class,listening_to_teachers
attending_class,meeting_classmates
attending_class,meeting_people
attending_class,not_getting_abscences_reported
attending_class,obtaining_degree
attending_class,obtaining_education
attending_class,practising_instrument
attending_class,practising_martial_art
attending_class,school_requirements
attending_class,student
attending_class,students
attending_class,taking_notes
attending_class,taking_notes_on_subject
attending_class,teachers
attending_class,turning_in_completed_homework_assignments
attending_classical_concert,acheaving_broader_perpective_of_culture
attending_classical_concert,criticism
attending_classical_concert,do_on_date
attending_classical_concert,enjoying_classical_music
attending_classical_concert,enjoying_date
attending_classical_concert,enjoying_down_time
attending_classical_concert,enjoying_music
attending_classical_concert,entertainment
attending_classical_concert,getting_social_contacts
attending_classical_concert,have_experience_of_luxury
attending_classical_concert,having_fun
attending_classical_concert,healing_soul
attending_classical_concert,listening_carefully
attending_classical_concert,listening_to_clasical_music
attending_classical_concert,listening_to_live_classical_music
attending_classical_concert,listening_to_music
attending_classical_concert,musical_appreciation
attending_classical_concert,not_hanging_around_alone_at_home
attending_classical_concert,pleasure
attending_classical_concert,showing_off_new_clothes
attending_classical_concert,writing_article_about_concert
attending_lecture,completing_coursework
attending_lecture,enjoying_oneself
attending_lecture,gathering_information
attending_lecture,gathering_information_on_topic
attending_lecture,getting_higher_education
attending_lecture,hearing_speaker
attending_lecture,hearing_speech
attending_lecture,learning
attending_lecture,learning_language
attending_lecture,learning_new_information
attending_lecture,learning_new_subject
attending_lecture,learning_skill
attending_lecture,meeting_famous_professor
attending_lecture,participating_in_academic_social_life
attending_lecture,preparing_for_exam
attending_lecture,understanding_idea
attending_meeting,addressing_problem
attending_meeting,alcoholics
attending_meeting,brainstorming
attending_meeting,brownie_points
attending_meeting,communicating_ideas
attending_meeting,discussing_secrets
attending_meeting,employees_of_company
