Item ID,Content,Annotation
17737411777383y521qwf1g4,Are cycling cap from clothes that are jockey cap?,Correct
1773741177738leh0xdcaji,"Is 'specify' associated with 'stipulation, precondition, condition'?",Correct
17737411777383etfylwcf8o,"Is 'pace' associated with 'pace, stride, footstep'?",Correct
177374117773814k6q4ru48k,Is sales related to offtake?,Correct
1773741177738r8azhiuwle,"Is 'preliminary' associated with the frame 'Pre transfer - The stage before the transfer has taken place, with the Theme in the possession of the Donor'?",Correct
177374117773815wg8nlfa7a,Is 'component' associated with the frame 'Part whole - This frame is concerned with nouns denoting a part or parts of a Whole entity '?,Correct
1773741177738i1stw6mlwm,Are upright piano from instruments that can have soft pedal?,Correct
1773741177738jfb5sojioip,Are Arabian from animals that are thoroughbred?,Correct
1773741177738q2v5cruhxpf,"Is 'hypothesis' associated with 'illation, inference'?",Correct
177374117773872kly9lbhlq,"Is 'diagnose' associated with 'malady, illness, sickness'?",Correct
1773741177738iquwk9l3ms,Is 'glowing' associated with 'brightness'?,Correct
177374117773856ejyhd3wwu,Is 'project' associated with the frame 'Activity done state - An Agent has completed an Activity'?,Correct
177374117773852z287j7a57,"Is 'congest' associated with 'road traffic, traffic, priority'?",Correct
1773741177738cwbrl5teuxu,"Is 'valid' associated with the frame 'Opinion - A Cognizer holds a particular Opinion, which may be portrayed as being about a particular Topic'?",Correct
177374117773827tmcwa8gte,"Is 'explore' associated with 'research worker, investigator, researcher'?",Correct
177374117773842gh1mbij0s,"Is [""nail care related to manicure?",Correct
1773741177738e0dn1fqqw7i,"Is 'fulfillment' associated with the frame 'Accomplishment - After a period in which the Agent has been working on a Goal, the Agent manages to attain it'?",Correct
17737411777383tlo75hq5zo,Are convertible from vehicles that can have topside?,Correct
1773741177738ldp83mvrsep,"Is 'farmer' associated with 'acre, field'?",Correct
1773741177739o1yt0chga3,Are bottle from artifacts that are container?,Correct
17737411777394o8kvlf7qui,"Is cooking used for [  ""preparing food?",Correct
1773741177739g01ulpyhkoj,Is 'shatter' associated with 'glass'?,Correct
17737411777394vpzsz0lu4i,Is 'severance agreement' associated with the frame 'Firing - An Employer ends an employment relationship with an Employee'?,Correct
1773741177739258h7waydzui,Are salad from food that can be made of fruit?,Correct
17737411777396wuhuaxp75m,Is middle of the road related to middle?,Correct
17737411777390i8e8e22ua0q,Is hat used for show style?,Correct
1773741177739czdcjumc11g,Are headphones from appliance that are electro-acoustic transducer?,Correct
17737411777399cj9l7bi79f,Is dressing nice used for making a statement?,Correct
1773741177739z0honnmgci8,Are skirt from clothes that can have pocket?,Correct
1773741177739klqdfk63zem,"Is 'fume' associated with 'smoke, fume'?",Correct
1773741177739wf51g6txcb,"Is 'discuss' associated with 'discourse, treatment, discussion'?",Correct
1773741177739f3zbgnkvc9,Is scoring homer used for softball game?,Correct
1773741177739hb1s0kis9eq,Is lake used for fishing?,Correct
1773741177739hhnxrf1ht4m,Is earth used for understanding Earth's history?,Correct
1773741177739kn3nsnxjv2o,"Is 'solve' associated with 'problem, trouble'?",Correct
177374117773958sse66u73l,"Is 'physical' associated with 'dollar, dollar bill, buck'?",Correct
1773741177739obntct3qxn8,"Is 'rare' associated with the frame 'Opportunity - An Agent has a choice of whether or not to participate in some Desirable event because of an Opportunity, a situation not completely under the Agent'?",Correct
1773741177739myoo57ockms,Is debt collection related to liquidate?,Correct
1773741177739tnna612j9tm,Is university of indiana related to bloomington?,Incorrect
1773741177739j61u9eqwju,Is making sure re healthy used for increasing lifespan?,Incorrect
1773741177739vk93j0ei47,Is striking match used for survival?,Correct
1773741177739dkc563c81j,Is 'glow' associated with the frame 'Level of light - There is a gradable amount of light in a particular Location'?,Correct
1773741177739t5mcoekojha,Is 'arid' associated with the frame 'Being dry - An Item is in a state of dryness'?,Correct
17737411777396cggf9865r,Is 'muscle' associated with the frame 'Exercising - An Agent actively maintains or improves their level of phyiscal fitness'?,Correct
1773741177739fw7fcv0cito,"Is 'carry' associated with 'bag, purse, handbag'?",Correct
1773741177739m04p0a325x,"Is 'examine' associated with 'research, survey, study'?",Correct
1773741177739z7meifjich,Is 'qualified' associated with the frame 'People by vocation - This frame contains  words for Individuals as viewed in terms of their vocation'?,Correct
1773741177739q5cwbmtvdsc,Are toaster from appliance that can have wire?,Correct
1773741177739pre1zwefukb,Is coastal defense related to conical buoy?,Correct
1773741177739uu822kq4c2,Is 'crispy' associated with 'dish'?,Correct
17737411777391jtgugeksgr,Are monkey from animals that are used for research?,Correct
1773741177739b1r6zpfet1o,Are soupmaker from home that contain soups?,Correct
1773741177739hr34tz7yous,Is 'partial' associated with the frame 'Limitation - An Entity that would be expected to have a characteristic to a certain degree (typically based on comparison to other entities of the same type) instead has a more limited degree of that characteristic'?,Correct
1773741177739a2iuqvtur6m,Is changing appearance used for Shape-shifting?,Correct
1773741177739215kr82ent4,Is coat of arms history related to heraldry?,Correct
1773741177739mrj9x31cru,Is financial planning related to budget?,Correct
1773741177739pmwvc3ub4i,Is 'designate' associated with 'structure'?,Correct
1773741177739sqywst5r8z,"Is 'interpret' associated with 'actor, role player, histrion'?",Correct
177374117773956vqfdqhapr,Are spinach from food that are related with salad?,Incorrect
177374117773950lj5bavrou,Is 'standard' associated with the frame 'Request entity - A Customer requests an Entity from a Supplier'?,Correct
17737411777399pu8bm6uf7p,Is permutation matrix related to transposition?,Correct
1773741177739seft3ewl4cl,"Is 'ownership' associated with the frame 'Pre transfer - The stage before the transfer has taken place, with the Theme in the possession of the Donor'?",Correct
17737411777399rgj04l3eiq,Is 'reinitiating' associated with the frame 'Cause to resume - An Agent acts so as to cause some process to begin again after an interruption or suspension'?,Correct
17737411777399vxl76f42x,"Is 'investigate' associated with 'background, ground'?",Incorrect
1773741177739afxwbb84im,Is illuminance related to light?,Correct
1773741177739kb1wzncve6,Is survival of the fittest related to catch as catch can?,Correct
17737411777397664rtx38ji,Is 'shutdown' associated with the frame 'Change operational state - A Device or machine is put in (or out of) service either by a volitional Agent or by a Cause event or force acting on the Device'?,Correct
1773741177739joc73a69un,"Is 'equitable' associated with 'justice, justness'?",Correct
1773741177739cfewr7eiull,Are ambulance from vehicles that can have winch?,Incorrect
1773741177739c1sa6a1mbb8,"Is 'labor' associated with the frame 'Birth scenario - An Offspring is born to a Mother and Father, collectively referred to as Parents'?",Correct
1773741177739hw4563t6kpf,Are dog from animals that can have bone?,Correct
1773741177739ns14e4wjjl,Is teeth related to rodent?,Correct
1773741177739f0b5679rpp,Is 'grief' associated with the frame 'Death - The words in this frame describe the death of a Protagonist'?,Correct
177374117773910xxw5ozo2y,Is event related to calendar?,Correct
1773741177739k4zye6isq7,Is 'become' associated with the frame 'Change post-state - The frame represents the result state of the Entity after event represented by the Undergo change frame'?,Correct
1773741177739xpd86f5w5x,Is mine used for mining?,Correct
17737411777391mmcyvk0kka,"Is 'resolution' associated with the frame 'Resolve problem - An Agent resolves an outstanding Problem by finding its solution, explanation, answer, etc'?",Correct
1773741177739y1tomfw5jt,Are Audi e-tron from vehicles that are electric?,Correct
1773741177739hsh27x7i31k,Are chocolate from food that can be used for dice?,Incorrect
1773741177739k6c4n8nbzqj,Are hat from artifacts that are used for shade?,Correct
1773741177739zcg3ryh5h2p,"Is 'interrelated' associated with 'interrelationship, interrelatedness, interrelation'?",Correct
177374117773944m1fum43kg,"Is 'strike' associated with 'fighting, fight, combat'?",Correct
17737411777396c0ujom0tj2,Is 'strong' associated with the frame 'Member of military - A Person is a member of an organized military organization belonging to a nation-state or similar body'?,Correct
1773741177739rdlyo29zh3m,Is 'influence' associated with the frame 'Influencing potential - A Force has the potential to influence an Entity or State of affairs within a certain Domain due to some Source'?,Correct
1773741177739vkwag4wnhxr,Is astronomy enthusiast related to skoptic?,Incorrect
1773741177739i20doef7wt,Is rounded edges related to rounded?,Correct
1773741177739kbhsx6zu5cg,Is 'approaching' associated with the frame 'Cotheme - This frame contains words that necessarily indicate the motion of two distinct objects'?,Correct
17737411777398rrc01kgcl8,"Is 'profit' associated with 'mercantilism, commercialism, commerce'?",Correct
1773741177739b11m2yd5wep,"Is 'sit' associated with the frame 'Non-gradable proximity - A Figure is characterized as near the Ground, according to some contextually given scale'?",Incorrect
1773741177739bfykbbsqlfk,Is 'friendly' associated with the frame 'Hospitality - A Host is judged regarding their attitude as a potential host in a guest-host relationship'?,Correct
1773741177739jpzgvejhocs,Is 'botch' associated with 'failure'?,Incorrect
1773741177739im17td9b71f,Are Car from vehicles that can have steering wheel?,Correct
1773741177739jxic0d7p1wg,"Is 'agreement' associated with the frame 'Having commercial agreement - Party 1 and Party 2 (collectively refered to as Parties) make a commercial agreement, an Obligation, which both Parties are expected to keep or fulfill'?",Correct
1773741177739uqlpvla0psl,Is having shower used for refreshing?,Correct
1773741177739ih7jhjfvoyj,Is anxious related to eager?,Incorrect
17737411777391ehd8xhnchf,"Is 'face' associated with the frame 'Making faces - An Agent makes a particular facial expression, generally in response to some Internal cause (generally an emotional state)'?",Correct
1773741177739wpu48ccnj0s,Is billboard used for billboard marketing campaigns?,Correct
17737411777395a76f7i0h0d,"Is 'solid' associated with 'form, phase'?",Correct
1773741177739jeksvjki1xp,"Is 'thunderstorm' associated with 'storm, storm damage, violent storm'?",Correct
1773741177739elhw32qkrnp,Is queen used for reigning monarch?,Correct
17737411777394kscqhhot6l,Is sequence related to ordinal number?,Correct
1773741177739p5pl578ek2d,"Is 'sanction' associated with 'punishment, penalization, penalisation'?",Correct
1773741177739vnvbwey3wbr,"Is 'project' associated with 'prospect, expectation, outlook'?",Incorrect
1773741177739yrlzt09gsmd,Is 'uncertain' associated with the frame 'Hearsay - The Hearer receives a Message or communication on a particular Topic'?,Correct
1773741177739h68nxr6vn6l,Is pub used for playing pool?,Incorrect
1773741177739zvddduqli3,Is male ejaculation related to ejaculate?,Correct
1773741177739c75p4wc9dfp,Is chair related to stool?,Correct
17737411777393h7a00olbtq,"Is 'commence' associated with the frame 'Cause to start - A Cause, animate or inanimate, causes a process, the Effect, to begin'?",Correct
1773741177739tf7h9yl9d5,Is 'primary' associated with 'source'?,Correct
1773741177739f0um3d31p4r,Is 'temporary' associated with the frame 'Employing - An Employer employs an Employee whose Position entails that the Employee perform certain Tasks in exchange for Compensation'?,Correct
1773741177739l3u2aegbmrl,Is tourniquet used for medical procedure?,Correct
1773741177739rhoyvs8bfhe,"Is 'daybreak' associated with the frame 'Getting up - A Protagonist leaves the place where they have slept, their Bed, to begin or resume domestic, professional, or other activities'?",Correct
1773741177739s0we47iet8d,Is ponderous weight related to ponderous?,Correct
1773741177739lor1injo2uc,"Is 'beach towel' associated with 'summer season, summer, summertime'?",Correct
1773741177739lfe9dl1cdf8,Is 'commutes' associated with the frame 'Expected location of person - A Person usually resides or works in a Location'?,Correct
1773741177739domzswogfew,"Is 'ambiguous' associated with 'percept, perception, perceptual experience'?",Correct
1773741177739rk5eqkrl8vq,Is stairwell used for stair climbing?,Correct
1773741177739vn0gu4a18lk,Is agreeing with used for an argument?,Correct
1773741177739oh3ht5frx5,Is 'defensive' associated with the frame 'Guilt or innocence - An Accused individual is deemed by a (usually implicit) Judge to be involved (or not) in a Misdeed'?,Correct
1773741177739e0qch5nxd9c,"Is 'number' associated with 'figure, fig'?",Correct
17737411777398xd86g7xce,"Is 'open' associated with 'communication, communicating, social communication'?",Correct
1773741177739do4tlalkcf,"Is 'predicament' associated with 'situation, state of affairs'?",Correct
17737411777399cssxsirlti,Is subordinate related to junior?,Correct
1773741177739qy9p072je9m,"Is 'kindling' associated with the frame 'Catching fire - A Fuel, some flammable object or substance, ends up on fire'?",Correct
1773741177739c5p6vqrd5i9,Is 'truth' associated with the frame 'Reveal secret - A Speaker reveals Information that was previously secret to an Addressee'?,Correct
17737411777398cgtqczordr,Is 'upholding' associated with the frame 'Enforcing - An Agent acts to ensure that a Rule (often a constraint on behavior) is being followed'?,Correct
1773741177739zw9bm5q2dg,Is paper punch used for creating hole patterns?,Correct
17737411777393wuigh8l0wq,Is 'tune' associated with the frame 'Adjusting - An Agent changes a Part of a complex entity with regard to some Feature in order to achieve some Imposed purpose affected by the Feature'?,Correct
1773741177739jmtosds37j,Is abstraction related to reduction?,Correct
1773741177739lpo7htwtbr,Is 'trade' associated with the frame 'Exporting - An Exporter moves Goods across a border from an Exporting area to an Importing area'?,Correct
1773741177739443w25mggsh,Is pedestal used for displaying a statue?,Correct
17737411777391bymqlaq75y,Is tartar control toothpaste used for preventing cavities?,Correct
17737411777395tsa670v2ey,Is 'fumbling' associated with the frame 'Bungling - An Agent performs an Action incorrectly'?,Incorrect
1773741177739afc1yyopoe5,Is canvas used for HTML5 canvas element?,Correct
1773741177739hyfjg1unfxs,Are 300 from appliance that are telephone extension?,Correct
1773741177739jeosfpflykb,"Is 'festivity' associated with 'enjoyment, delight, delectation'?",Correct
17737411777398efdjuf39md,Are towering from home that can be cylindrical?,Correct
1773741177739elvb9twy0a8,"Is 'valuation' associated with 'valuation, evaluation, rating'?",Correct
1773741177739v86335m42v,Is 'favoritism' associated with the frame 'Partiality - This frame has to do with the bias or lack of bias of a Judge making an assessment concerning two or more Sides'?,Correct
17737411777398h0yca1nehe,Is library related to alexandrianism?,Correct
1773741177739kj2uhawt6ag,Is 'volume' associated with 'mass'?,Correct
1773741177739p5ifzljhioa,Is concert hall used for community events?,Correct
1773741177739uveok7v8y3a,Are sweet potato from food that are tuber?,Correct
17737411777390zl7rgg4e1f,Is vacant related to absent?,Correct
17737411777396hg9tueqwh,"Is 'network' associated with 'phone, telephone set, telephone'?",Correct
177374117773930f475802g2,Is 'turbid' associated with 'sea'?,Correct
1773741177739tlcrwchtaz,Is 'watery' associated with 'fish'?,Correct
1773741177739jdsej87c28o,Is 'category_error' associated with the frame 'Categorization - A Cognizer construes an Item as belonging to a certain Category'?,Correct
1773741177739j6ruzd6en9e,Are moth from animals that are insect?,Correct
17737411777399wsg64w7i74,Are fish from food that can be used for spiced?,Incorrect
17737411777390nlnutitk3tg,Is island used for isolation from the mainland?,Incorrect
1773741177739kmpvm4tguf,"Is 'exact' associated with 'preciseness, precision'?",Correct
1773741177739n5ppmqw9g2k,"Is 'context' associated with 'situation, position, set up'?",Correct
1773741177739zyflhuapqve,Is 'reconcile' associated with 'balance'?,Correct
1773741177739j6pge0qk3gp,"Is 'goal' associated with the frame 'Purpose - An Agent wants to achieve a Goal,  or an object'?",Correct
1773741177739hb78xfa576i,Are alates from animals that are wood ant?,Correct
177374117773951w96dq4jud,Are goose from animals that are carinate bird?,Correct
1773741177739jv1tmjhi33,"Is 'personal' associated with the frame 'Opinion - A Cognizer holds a particular Opinion, which may be portrayed as being about a particular Topic'?",Correct
1773741177739vus9u7tot7,Is abandon related to quitting?,Correct
1773741177739hnt0fx99qak,"Is 'durable' associated with the frame 'Armor - An Asset, the safety of which is desirable, is protected from damage by a covering, the Armor'?",Correct
1773741177739ubfv6vyd6e,"Is 'implement' associated with 'calibration, standardization, standardisation'?",Correct
17737411777396tjsvkzw3ng,Are denim from clothes that are blue jean?,Correct
1773741177739bwdgwqve6fs,Are train from vehicles that are used for ride?,Correct
1773741177739wdtinoi9mk8,Are capuchin from clothes that are cap?,Correct
1773741177739amkj4v3gpl4,"Is 'statute' associated with the frame 'Law - A Law regulates activities or states of affairs within a Jurisdiction, dictating what Required states should be the case and what Forbidden states should not'?",Correct
17737411777393c7i8za2pz3,Are firefly from animals that are elaterid?,Correct
1773741177739dj2oms0us48,"Is 'frustrated' associated with 'feeling, sentiment'?",Correct
1773741177739qebpzz2cpao,"Is 'creative' associated with 'play, dramatic play, drama'?",Correct
1773741177739jji0n4plqx,Is perfectionism related to nitpicking?,Correct
1773741177739c5qtnnhfnqm,Is 'complex' associated with 'molecule'?,Correct
1773741177739frzt1rqj94a,Is 'spawn' associated with 'fish'?,Correct
177374117773955q8xyetro4,Is 'officer' associated with the frame 'Citing - A Defendant is officially summoned to appear in Court by an Authority (such as the police) based on certain Charges'?,Correct
1773741177739p4hsbc2ej8,"Is 'finish' associated with 'completion, closing, windup'?",Correct
1773741177739vxomvr27xd,"Is 'effective' associated with 'advertising, advertisement, publicizing'?",Incorrect
17737411777398h59z2l50r9,Is 'situation' associated with the frame 'Delimited state scenario - A State (often an ongoing process) is ongoing for some period of time'?,Correct
17737411777392rv7kaft5qq,"Is 'be infected with' associated with the frame 'Come down with - A Protagonist comes to suffer from a Disease, often implicitly acquired from a Source'?",Correct
1773741177739w5ir8noe8t,Is 'intersection' associated with the frame 'Location on path - A Figure (fictively or literally) occupies a position within a Profiled region related to a Ground'?,Correct
177374117773904xysua0l59m,Are bread mixture from food that can be used for leaven?,Correct
1773741177739tm44h0dmvnn,Is changing appearance used for Disguise?,Correct
1773741177739g0bm9p2jds,Is mind-body connection related to yoga?,Correct
17737411777398uuuo0hmd2m,Are Hornet from animals that are hymenopteran?,Correct
1773741177739052mkfcixfrm,Is abandonware preservation related to abandonware?,Correct
1773741177739u8a07ltey4f,Is 'deference' associated with 'consideration'?,Correct
1773741177739naolddk4wae,Is magnetic shape memory alloys related to heusler compound?,Correct
1773741177739tswyt6s2u3h,Is oil well blowout related to blowout preventer?,Correct
1773741177739c219btsug2l,Are gourd from food that are gourd?,Correct
17737411777390em5kb588y29,Are midges from animals that are grouped in swarm?,Correct
17737411777393wfwh8bn5sg,Is refuse used for garbage?,Incorrect
177374117773938b97xid12z,"Is 'kindness' associated with 'respect, regard'?",Correct
1773741177739wi9hcan65gg,Is leather used for bookbinding?,Correct
1773741177739sl03mnyl5ac,Is dining area used for celebrating?,Correct
1773741177739m7s7wvigok,Is television related to series?,Correct
17737411777391utya5ge5rsh,"Is 'vibrator' associated with the frame 'Cause to move in place - An Agent causes a Theme to move with respect to a certain Fixed location, generally with a certain Periodicity, without undergoing unbounded translational motion or significant alteration of configuration/shape'?",Correct
17737411777395zaeonvc0kx,"Is 'pout' associated with the frame 'Making faces - An Agent makes a particular facial expression, generally in response to some Internal cause (generally an emotional state)'?",Correct
1773741177739yjb400w2ktg,Is 'substantial' associated with the frame 'Improvement or decline - An Entity improves from a less desirable Prior state to a more desirable Post state'?,Correct
1773741177739zv3zwuanjlb,Is understanding better used for solving conflicts?,Correct
1773741177739xtt2znxpygh,"Is 'tangible' associated with 'property, holding, belongings'?",Incorrect
1773741177739s845dp6jfca,"Is 'flexible' associated with the frame 'Commutative process - LUs in this frame describe a commutative operation of arithmetic, e'?",Correct
1773741177739dutzvth9oea,Is 'budgeting' associated with the frame 'Frugality - The words of this frame describe how a Resource controller spends money or other Resources for a particular purpose '?,Correct
17737411777394yvottnnpy8,"Is 'supply' associated with 'marketplace, market place, market'?",Correct
1773741177739dd3oc97gfvc,Are airplane from vehicles that can have tail fin?,Correct
1773741177739z023nux90qd,"Is 'selfless' associated with the frame 'People by morality - This frame contains general words for Individuals, i'?",Correct
17737411777393gg0ltm5mvg,"Is 'duty_of_loyalty' associated with 'duty, responsibility, obligation'?",Correct
17737411777394my0xg139td,"Is 'careful' associated with the frame 'Operate vehicle - The words in this frame describe motion involving a Vehicle and someone who controls it, the Driver'?",Correct
1773741177739ivl281nvro,Are violin keys from instruments that can be white?,Incorrect
